region	tags	indicator	Код: да - 1, нет - 2 / 3
Белгородская область	персонал; Государственные, Муниципальные	ученый совет / 05	8.0
Белгородская область	персонал; Частные	Коллегиальные органы управления / 03	3.0
Белгородская область	персонал; Частные	Лицензия на осуществление образовательной деятельности / 01	3.0
Белгородская область	персонал; Частные	Профессиональные союзы работников / 12	1.0
Белгородская область	персонал; Частные	Профессиональные союзы студентов / 11	1.0
Белгородская область	персонал; Частные	Свидетельство о государственной аккредитации образовательной деятельности / 02	1.0
Белгородская область	персонал; Частные	Студенческие советы / 10	3.0
Белгородская область	персонал; Частные	в том числе: общее собрание (конференция) работников и  обучающихся образовательной организации / 04	3.0
Белгородская область	персонал; Частные	другие / 09	3.0
Белгородская область	персонал; Частные	из строки 03 – с участием общественности (работодателей) / 13	2.0
Белгородская область	персонал; Частные	наблюдательный совет / 08	0.0
Белгородская область	персонал; Частные	попечительский совет / 06	1.0
Белгородская область	персонал; Частные	управляющий совет / 07	0.0
Белгородская область	персонал; Частные	ученый совет / 05	3.0
Брянская область	персонал; Государственные, Муниципальные	Коллегиальные органы управления / 03	7.0
Брянская область	персонал; Государственные, Муниципальные	Лицензия на осуществление образовательной деятельности / 01	8.0
Брянская область	персонал; Государственные, Муниципальные	Профессиональные союзы работников / 12	6.0
Брянская область	персонал; Государственные, Муниципальные	Профессиональные союзы студентов / 11	5.0
Брянская область	персонал; Государственные, Муниципальные	Свидетельство о государственной аккредитации образовательной деятельности / 02	8.0
Брянская область	персонал; Государственные, Муниципальные	Студенческие советы / 10	8.0
Брянская область	персонал; Государственные, Муниципальные	в том числе: общее собрание (конференция) работников и  обучающихся образовательной организации / 04	6.0
Брянская область	персонал; Государственные, Муниципальные	другие / 09	4.0
Брянская область	персонал; Государственные, Муниципальные	из строки 03 – с участием общественности (работодателей) / 13	6.0
Брянская область	персонал; Государственные, Муниципальные	наблюдательный совет / 08	1.0
Брянская область	персонал; Государственные, Муниципальные	попечительский совет / 06	3.0
Брянская область	персонал; Государственные, Муниципальные	управляющий совет / 07	1.0
Брянская область	персонал; Государственные, Муниципальные	ученый совет / 05	8.0
Брянская область	персонал; Частные	Коллегиальные органы управления / 03	1.0
Брянская область	персонал; Частные	Лицензия на осуществление образовательной деятельности / 01	1.0
Брянская область	персонал; Частные	Профессиональные союзы работников / 12	0.0
Брянская область	персонал; Частные	Профессиональные союзы студентов / 11	0.0
Брянская область	персонал; Частные	Свидетельство о государственной аккредитации образовательной деятельности / 02	0.0
Брянская область	персонал; Частные	Студенческие советы / 10	1.0
Брянская область	персонал; Частные	в том числе: общее собрание (конференция) работников и  обучающихся образовательной организации / 04	1.0
Брянская область	персонал; Частные	другие / 09	0.0
Брянская область	персонал; Частные	из строки 03 – с участием общественности (работодателей) / 13	0.0
Брянская область	персонал; Частные	наблюдательный совет / 08	0.0
Брянская область	персонал; Частные	попечительский совет / 06	0.0
Брянская область	персонал; Частные	управляющий совет / 07	0.0
Брянская область	персонал; Частные	ученый совет / 05	1.0
Владимирская область	персонал; Государственные, Муниципальные	Коллегиальные органы управления / 03	7.0
Владимирская область	персонал; Государственные, Муниципальные	Лицензия на осуществление образовательной деятельности / 01	7.0
Владимирская область	персонал; Государственные, Муниципальные	Профессиональные союзы работников / 12	3.0
Владимирская область	персонал; Государственные, Муниципальные	Профессиональные союзы студентов / 11	4.0
Владимирская область	персонал; Государственные, Муниципальные	Свидетельство о государственной аккредитации образовательной деятельности / 02	7.0
Владимирская область	персонал; Государственные, Муниципальные	Студенческие советы / 10	5.0
Владимирская область	персонал; Государственные, Муниципальные	в том числе: общее собрание (конференция) работников и  обучающихся образовательной организации / 04	5.0
Владимирская область	персонал; Государственные, Муниципальные	другие / 09	3.0
Владимирская область	персонал; Государственные, Муниципальные	из строки 03 – с участием общественности (работодателей) / 13	3.0
Владимирская область	персонал; Государственные, Муниципальные	наблюдательный совет / 08	0.0
Владимирская область	персонал; Государственные, Муниципальные	попечительский совет / 06	2.0
Владимирская область	персонал; Государственные, Муниципальные	управляющий совет / 07	0.0
Владимирская область	персонал; Государственные, Муниципальные	ученый совет / 05	7.0
Владимирская область	персонал; Частные	Коллегиальные органы управления / 03	0.0
Владимирская область	персонал; Частные	Лицензия на осуществление образовательной деятельности / 01	1.0
Владимирская область	персонал; Частные	Профессиональные союзы работников / 12	0.0
Владимирская область	персонал; Частные	Профессиональные союзы студентов / 11	0.0
Владимирская область	персонал; Частные	Свидетельство о государственной аккредитации образовательной деятельности / 02	1.0
Владимирская область	персонал; Частные	Студенческие советы / 10	1.0
Владимирская область	персонал; Частные	в том числе: общее собрание (конференция) работников и  обучающихся образовательной организации / 04	0.0
Владимирская область	персонал; Частные	другие / 09	1.0
Владимирская область	персонал; Частные	из строки 03 – с участием общественности (работодателей) / 13	1.0
Владимирская область	персонал; Частные	наблюдательный совет / 08	0.0
Владимирская область	персонал; Частные	попечительский совет / 06	0.0
Владимирская область	персонал; Частные	управляющий совет / 07	0.0
Владимирская область	персонал; Частные	ученый совет / 05	0.0
Волгоградская область	персонал; Государственные, Муниципальные	Коллегиальные органы управления / 03	16.0
Волгоградская область	персонал; Государственные, Муниципальные	Лицензия на осуществление образовательной деятельности / 01	16.0
