region	tags	indicator	Всего (сумма граф 4-9) / 3	из гр. 3 - имеют общий стаж работы, лет / до 3 / 4	из гр. 3 - имеют общий стаж работы, лет / от 3 до 5 / 5	из гр. 3 - имеют общий стаж работы, лет / от 5 до 10 / 6	из гр. 3 - имеют общий стаж работы, лет / от 10 до 15 / 7	из гр. 3 - имеют общий стаж работы, лет / от 15 до 20 / 8	из гр. 3 - имеют общий стаж работы, лет / 20 и более / 9	Из гр. 3 имеют педагогический стаж работы, всего (сумма гр.11-16) / 10	из гр. 10 - имеют педагогический стаж работы, лет / до 3 / 11	из гр. 10 - имеют педагогический стаж работы, лет / от 3 до 5 / 12	из гр. 10 - имеют педагогический стаж работы, лет / от 5 до 10 / 13	из гр. 10 - имеют педагогический стаж работы, лет / от 10 до 15 / 14	из гр. 10 - имеют педагогический стаж работы, лет / от 15 до 20 / 15	из гр. 10 - имеют педагогический стаж работы, лет / 20 и более / 16	Не имеют педагоги-ческого стажа работы / 17
Алтайский край	персонал; Государственные, Муниципальные	заведующие кафедрами / 11	199.0	0.0	0.0	2.0	5.0	15.0	177.0	199.0	0.0	0.0	2.0	8.0	36.0	153.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	из них профессорско-преподавательский состав,  осуществляющий образовательную деятельность  по образовательным программам высшего образования -  программам бакалавриата, специалитета, магистратуры  (сумма строк 10-17) / 09	2261.0	39.0	48.0	162.0	192.0	284.0	1536.0	2259.0	111.0	106.0	203.0	231.0	331.0	1277.0	2.0
Алтайский край	персонал; Государственные, Муниципальные	из них:  ректор / 03	7.0	0.0	0.0	0.0	0.0	0.0	7.0	7.0	0.0	0.0	0.0	0.0	1.0	6.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	инженерно-технический персонал / 20	424.0	114.0	33.0	52.0	32.0	32.0	161.0	35.0	13.0	5.0	12.0	1.0	2.0	2.0	389.0
Алтайский край	персонал; Государственные, Муниципальные	инженеры по телекоммуникациям / 30	8.0	1.0	0.0	4.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	инженеры-электроники / 29	24.0	2.0	0.0	6.0	2.0	6.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	иные педагогические работники / 18	40.0	6.0	2.0	3.0	2.0	5.0	22.0	37.0	9.0	2.0	4.0	2.0	4.0	16.0	3.0
Алтайский край	персонал; Государственные, Муниципальные	квалифицированные рабочие: монтажники и ремонтники электронного и  телекоммуникационного оборудования / 35	2.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	научные работники / 19	51.0	2.0	6.0	8.0	10.0	7.0	18.0	49.0	8.0	3.0	16.0	4.0	6.0	12.0	2.0
Алтайский край	персонал; Государственные, Муниципальные	обслуживающий персонал / 24	792.0	54.0	15.0	52.0	80.0	90.0	501.0	7.0	3.0	0.0	2.0	0.0	0.0	2.0	785.0
