region	tags	indicator	Всего (сумма гр.4, 6, 8, 10, 12, 14, 16, 18, 20, 22) / 3	Число полных лет по состоянию на 1 января следующего года / моложе 25 лет / всего / 4	Число полных лет по состоянию на 1 января следующего года / моложе 25 лет / из них жен-щины / 5	Число полных лет по состоянию на 1 января следующего года / 25 - 29 / всего / 6	Число полных лет по состоянию на 1 января следующего года / 25 - 29 / из них жен-щины / 7	Число полных лет по состоянию на 1 января следующего года / 30 - 34 / всего / 8	Число полных лет по состоянию на 1 января следующего года / 30 - 34 / из них жен-щины / 9	Число полных лет по состоянию на 1 января следующего года / 35 - 39 / всего / 10	Число полных лет по состоянию на 1 января следующего года / 35 - 39 / из них жен-щины / 11	Число полных лет по состоянию на 1 января следующего года / 40 - 44 / всего / 12	Число полных лет по состоянию на 1 января следующего года / 40 - 44 / из них жен-щины / 13	Число полных лет по состоянию на 1 января следующего года / 45 - 49 / всего / 14	Число полных лет по состоянию на 1 января следующего года / 45 - 49 / из них жен-щины / 15	Число полных лет по состоянию на 1 января следующего года / 50 - 54 / всего / 16	Число полных лет по состоянию на 1 января следующего года / 50 - 54 / из них жен-щины / 17	Число полных лет по состоянию на 1 января следующего года / 55 - 59 / всего / 18	Число полных лет по состоянию на 1 января следующего года / 55 - 59 / из них жен-щины / 19	Число полных лет по состоянию на 1 января следующего года / 60 - 64 / всего / 20	Число полных лет по состоянию на 1 января следующего года / 60 - 64 / из них жен-щины / 21	Число полных лет по состоянию на 1 января следующего года / 65 и более / всего / 22	Число полных лет по состоянию на 1 января следующего года / 65 и более / из них жен-щины / 23
Архангельская область	персонал; Государственные, Муниципальные	преподаватели / 16	17.0	2.0	2.0	1.0	0.0	5.0	4.0	3.0	3.0	4.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	производственный персонал / 22	9.0	1.0	0.0	2.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	проректоры / 05	14.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	3.0	1.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	профессора / 13	102.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	5.0	2.0	11.0	7.0	8.0	5.0	5.0	3.0	19.0	7.0	51.0	20.0
Архангельская область	персонал; Государственные, Муниципальные	специалисты высшего уровня квалификации: разработчики и аналитики программного обеспечения  и приложений / 27	10.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	0.0	2.0	0.0	2.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	специалисты по базам данных и сетям / 28	21.0	0.0	0.0	0.0	0.0	7.0	4.0	4.0	2.0	6.0	4.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
Архангельская область	персонал; Государственные, Муниципальные	специалисты среднего уровня квалификации: специалисты-техники по эксплуатации ИКТ и по поддержке  пользователей ИКТ / 32	24.0	3.0	0.0	1.0	0.0	5.0	0.0	4.0	1.0	4.0	2.0	0.0	0.0	2.0	0.0	3.0	0.0	1.0	1.0	1.0	1.0
Архангельская область	персонал; Государственные, Муниципальные	специалисты-техники по телекоммуникациям и радиовещанию / 33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	старшие преподаватели / 15	138.0	0.0	0.0	4.0	1.0	20.0	14.0	27.0	12.0	33.0	22.0	16.0	11.0	11.0	8.0	13.0	8.0	9.0	6.0	5.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	техники-электроники / 34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	учебно-вспомогательный персонал / 23	351.0	39.0	21.0	46.0	28.0	40.0	39.0	27.0	26.0	38.0	38.0	30.0	26.0	30.0	29.0	30.0	28.0	32.0	26.0	39.0	33.0
Архангельская область	персонал; Частные	Из общей численности работников (стр. 01) специалисты по информационным и коммуникационным технологиям – всего (сумма строк 26 - 35) / 25	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Частные	Из стр.01 – исследователи / 36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Частные	Численность работников - всего (сумма строк 02, 07, 19-24) / 01	48.0	1.0	1.0	2.0	1.0	1.0	0.0	2.0	2.0	7.0	2.0	9.0	8.0	5.0	5.0	3.0	0.0	7.0	4.0	11.0	1.0
Архангельская область	персонал; Частные	административно-хозяйственный персонал / 21	9.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	3.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0
Архангельская область	персонал; Частные	ассистенты / 17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Частные	в том числе:  профессорско-преподавательский состав - всего: / 08	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	1.0	2.0	0.0	4.0	2.0	8.0	1.0
Архангельская область	персонал; Частные	в том числе:  руководители служб и подразделений в сфере  информационно-коммуникационных технологий / 26	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Частные	в том числе:  руководящий персонал - всего / 02	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	1.0	1.0	2.0	0.0
Архангельская область	персонал; Частные	в том числе: деканы факультетов / 10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
