region	tags	indicator	Всего / 3
Забайкальский край	персонал; Государственные, Муниципальные	из них осуществляющие образовательную деятельность  по образовательным программам высшего образования - программам бакалавриата, программам специалитета, программам магистратуры / 02	425.0
Ивановская область	персонал; Государственные, Муниципальные	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего / 01	398.0
Ивановская область	персонал; Государственные, Муниципальные	из них осуществляющие образовательную деятельность  по образовательным программам высшего образования - программам бакалавриата, программам специалитета, программам магистратуры / 02	316.0
Ивановская область	персонал; Частные	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего / 01	11.0
Ивановская область	персонал; Частные	из них осуществляющие образовательную деятельность  по образовательным программам высшего образования - программам бакалавриата, программам специалитета, программам магистратуры / 02	7.0
Иркутская область	персонал; Государственные, Муниципальные	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего / 01	981.0
Иркутская область	персонал; Государственные, Муниципальные	из них осуществляющие образовательную деятельность  по образовательным программам высшего образования - программам бакалавриата, программам специалитета, программам магистратуры / 02	498.0
Иркутская область	персонал; Частные	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего / 01	10.0
Иркутская область	персонал; Частные	из них осуществляющие образовательную деятельность  по образовательным программам высшего образования - программам бакалавриата, программам специалитета, программам магистратуры / 02	10.0
Кабардино-Балкарская Республика	персонал; Государственные, Муниципальные	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего / 01	254.0
Кабардино-Балкарская Республика	персонал; Государственные, Муниципальные	из них осуществляющие образовательную деятельность  по образовательным программам высшего образования - программам бакалавриата, программам специалитета, программам магистратуры / 02	231.0
Калининградская область	персонал; Государственные, Муниципальные	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего / 01	793.0
Калининградская область	персонал; Государственные, Муниципальные	из них осуществляющие образовательную деятельность  по образовательным программам высшего образования - программам бакалавриата, программам специалитета, программам магистратуры / 02	515.0
Калининградская область	персонал; Частные	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего / 01	53.0
Калининградская область	персонал; Частные	из них осуществляющие образовательную деятельность  по образовательным программам высшего образования - программам бакалавриата, программам специалитета, программам магистратуры / 02	40.0
Калужская область	персонал; Государственные, Муниципальные	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего / 01	1435.0
Калужская область	персонал; Государственные, Муниципальные	из них осуществляющие образовательную деятельность  по образовательным программам высшего образования - программам бакалавриата, программам специалитета, программам магистратуры / 02	1292.0
Калужская область	персонал; Частные	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего / 01	36.0
Калужская область	персонал; Частные	из них осуществляющие образовательную деятельность  по образовательным программам высшего образования - программам бакалавриата, программам специалитета, программам магистратуры / 02	36.0
Камчатский край	персонал; Государственные, Муниципальные	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего / 01	157.0
Камчатский край	персонал; Государственные, Муниципальные	из них осуществляющие образовательную деятельность  по образовательным программам высшего образования - программам бакалавриата, программам специалитета, программам магистратуры / 02	140.0
Камчатский край	персонал; Частные	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего / 01	11.0
Камчатский край	персонал; Частные	из них осуществляющие образовательную деятельность  по образовательным программам высшего образования - программам бакалавриата, программам специалитета, программам магистратуры / 02	11.0
Карачаево-Черкесская Республика	персонал; Государственные, Муниципальные	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего / 01	66.0
Карачаево-Черкесская Республика	персонал; Государственные, Муниципальные	из них осуществляющие образовательную деятельность  по образовательным программам высшего образования - программам бакалавриата, программам специалитета, программам магистратуры / 02	36.0
Карачаево-Черкесская Республика	персонал; Частные	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего / 01	17.0
Карачаево-Черкесская Республика	персонал; Частные	из них осуществляющие образовательную деятельность  по образовательным программам высшего образования - программам бакалавриата, программам специалитета, программам магистратуры / 02	17.0
Кемеровская область	персонал; Государственные, Муниципальные	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего / 01	856.0
