region	tags	indicator	Всего > 3.0
Ивановская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	345
Ивановская область	Частные; Сведения об организации, реализуемых программах и персонале	       подготовки специалистов среднего звена / 3.0	115
Ивановская область	Частные; Сведения об организации, реализуемых программах и персонале	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	0
Ивановская область	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	144
Иркутская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	119
Иркутская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	379
Иркутская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	660
Иркутская область	Частные; Сведения об организации, реализуемых программах и персонале	       подготовки специалистов среднего звена / 3.0	116
Иркутская область	Частные; Сведения об организации, реализуемых программах и персонале	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	0
Иркутская область	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	145
Кабардино-Балкарская Республика	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	41
Кабардино-Балкарская Республика	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	0
Кабардино-Балкарская Республика	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	81
Кабардино-Балкарская Республика	Частные; Сведения об организации, реализуемых программах и персонале	       подготовки специалистов среднего звена / 3.0	43
Кабардино-Балкарская Республика	Частные; Сведения об организации, реализуемых программах и персонале	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	0
Кабардино-Балкарская Республика	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	43
Калининградская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	104
Калининградская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	46
Калининградская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	193
Калининградская область	Частные; Сведения об организации, реализуемых программах и персонале	       подготовки специалистов среднего звена / 3.0	117
Калининградская область	Частные; Сведения об организации, реализуемых программах и персонале	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	0
Калининградская область	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	117
Калужская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	91
Калужская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	15
Калужская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	131
Калужская область	Частные; Сведения об организации, реализуемых программах и персонале	       подготовки специалистов среднего звена / 3.0	27
Калужская область	Частные; Сведения об организации, реализуемых программах и персонале	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	9
Калужская область	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	38
Камчатский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	209
Камчатский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	7
Камчатский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	370
Камчатский край	Частные; Сведения об организации, реализуемых программах и персонале	       подготовки специалистов среднего звена / 3.0	84
Камчатский край	Частные; Сведения об организации, реализуемых программах и персонале	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	84
Камчатский край	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	94
Карачаево-Черкесская Республика	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	27
Карачаево-Черкесская Республика	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	1
Карачаево-Черкесская Республика	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	30
Карачаево-Черкесская Республика	Частные; Сведения об организации, реализуемых программах и персонале	       подготовки специалистов среднего звена / 3.0	100
