region	tags	indicator	Всего > 3.0
Республика Алтай	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	65
Республика Башкортостан	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	413
Республика Башкортостан	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	166
Республика Башкортостан	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	632
Республика Башкортостан	Частные; Сведения об организации, реализуемых программах и персонале	       подготовки специалистов среднего звена / 3.0	72
Республика Башкортостан	Частные; Сведения об организации, реализуемых программах и персонале	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	50
Республика Башкортостан	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	123
Республика Бурятия	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	28
Республика Бурятия	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	27
Республика Бурятия	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	98
Республика Бурятия	Частные; Сведения об организации, реализуемых программах и персонале	       подготовки специалистов среднего звена / 3.0	38
Республика Бурятия	Частные; Сведения об организации, реализуемых программах и персонале	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	0
Республика Бурятия	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	38
Республика Дагестан	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	90
Республика Дагестан	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	27
Республика Дагестан	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	136
Республика Дагестан	Частные; Сведения об организации, реализуемых программах и персонале	       подготовки специалистов среднего звена / 3.0	527
Республика Дагестан	Частные; Сведения об организации, реализуемых программах и персонале	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	5
Республика Дагестан	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	564
Республика Ингушетия	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	0
Республика Ингушетия	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	0
Республика Ингушетия	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	0
Республика Ингушетия	Частные; Сведения об организации, реализуемых программах и персонале	       подготовки специалистов среднего звена / 3.0	104
Республика Ингушетия	Частные; Сведения об организации, реализуемых программах и персонале	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	6
Республика Ингушетия	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	123
Республика Калмыкия	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	27
Республика Калмыкия	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	63
Республика Калмыкия	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	116
Республика Калмыкия	Частные; Сведения об организации, реализуемых программах и персонале	       подготовки специалистов среднего звена / 3.0	8
Республика Калмыкия	Частные; Сведения об организации, реализуемых программах и персонале	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	0
Республика Калмыкия	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	8
Республика Карелия	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	13
Республика Карелия	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	0
Республика Карелия	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	227
Республика Карелия	Частные; Сведения об организации, реализуемых программах и персонале	       подготовки специалистов среднего звена / 3.0	4
Республика Карелия	Частные; Сведения об организации, реализуемых программах и персонале	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	0
Республика Карелия	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	4
Республика Коми	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	46
Республика Коми	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	15
Республика Коми	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	85
Республика Коми	Частные; Сведения об организации, реализуемых программах и персонале	       подготовки специалистов среднего звена / 3.0	5
Республика Коми	Частные; Сведения об организации, реализуемых программах и персонале	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	0
Республика Коми	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	24
Республика Крым	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	73
Республика Крым	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	24
Республика Крым	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	107
Республика Крым	Частные; Сведения об организации, реализуемых программах и персонале	       подготовки специалистов среднего звена / 3.0	0
Республика Крым	Частные; Сведения об организации, реализуемых программах и персонале	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	9
Республика Крым	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	9
Республика Марий Эл	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	123
Республика Марий Эл	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	64
Республика Марий Эл	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	327
Республика Марий Эл	Частные; Сведения об организации, реализуемых программах и персонале	       подготовки специалистов среднего звена / 3.0	9
Республика Марий Эл	Частные; Сведения об организации, реализуемых программах и персонале	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	0
Республика Марий Эл	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	9
Республика Мордовия	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	96
Республика Мордовия	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	17
Республика Мордовия	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	152
Республика Саха (Якутия)	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	282
Республика Саха (Якутия)	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	6
Республика Саха (Якутия)	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	396
Республика Саха (Якутия)	Частные; Сведения об организации, реализуемых программах и персонале	       подготовки специалистов среднего звена / 3.0	37
Республика Саха (Якутия)	Частные; Сведения об организации, реализуемых программах и персонале	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	3
Республика Саха (Якутия)	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	40
Республика Северная Осетия - Алания	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	69
Республика Северная Осетия - Алания	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	118
Республика Северная Осетия - Алания	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	225
Республика Северная Осетия - Алания	Частные; Сведения об организации, реализуемых программах и персонале	       подготовки специалистов среднего звена / 3.0	154
Республика Северная Осетия - Алания	Частные; Сведения об организации, реализуемых программах и персонале	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	17
Республика Северная Осетия - Алания	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	160
Республика Татарстан	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	587
Республика Татарстан	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	24
Республика Татарстан	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	677
Республика Татарстан	Частные; Сведения об организации, реализуемых программах и персонале	       подготовки специалистов среднего звена / 3.0	120
Республика Татарстан	Частные; Сведения об организации, реализуемых программах и персонале	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	7
Республика Татарстан	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	131
Республика Тыва	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	102
Республика Тыва	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	16
Республика Тыва	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	131
Республика Тыва	Частные; Сведения об организации, реализуемых программах и персонале	       подготовки специалистов среднего звена / 3.0	11
Республика Тыва	Частные; Сведения об организации, реализуемых программах и персонале	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	0
Республика Тыва	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	14
Республика Хакасия	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	74
Республика Хакасия	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	20
Республика Хакасия	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	101
Республика Хакасия	Частные; Сведения об организации, реализуемых программах и персонале	       подготовки специалистов среднего звена / 3.0	16
Республика Хакасия	Частные; Сведения об организации, реализуемых программах и персонале	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	0
Республика Хакасия	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	16
Российская Федерация	Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	19716
Российская Федерация	Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	4478
Российская Федерация	Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	30867
Российская Федерация	Сведения об организации, реализуемых программах и персонале	       подготовки специалистов среднего звена / 3.0	25198
Российская Федерация	Сведения об организации, реализуемых программах и персонале	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	4855
Российская Федерация	Сведения об организации, реализуемых программах и персонале	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	37134
Российская Федерация	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	19716
Российская Федерация	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	4478
Российская Федерация	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	30867
Российская Федерация	Частные	       подготовки специалистов среднего звена / 3.0	5482
Российская Федерация	Частные	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	377
Российская Федерация	Частные	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	6267
Российская Федерация	Частные; Сведения об организации, реализуемых программах и персонале	       подготовки специалистов среднего звена / 3.0	5482
Российская Федерация	Частные; Сведения об организации, реализуемых программах и персонале	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	377
Российская Федерация	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	6267
Ростовская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	1308
Ростовская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	138
Ростовская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	1553
Ростовская область	Частные; Сведения об организации, реализуемых программах и персонале	       подготовки специалистов среднего звена / 3.0	39
Ростовская область	Частные; Сведения об организации, реализуемых программах и персонале	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	0
Ростовская область	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	39
Рязанская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	215
Рязанская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	0
