region	tags	indicator	"Дистанционные образовательные технологии > в том числе (из графы 17) 
с применением исключительно дистанционных 
образовательных технологий > 18.0"	"Дистанционные образовательные технологии > численность обучающихся 
(из графы 5) 
по программам 
с применением дистанционных образовательных технологий > 17.0"	"Дистанционные образовательные технологии > число программ (из графы 3), реализуемых 
с применением дистанционных образовательных технологий > 16.0"	Сетевая форма реализации образовательных программ > в том числе (из графы 11) число иностранных организаций > 12.0	Сетевая форма реализации образовательных программ > в том числе (из графы 7) с использова-нием ресурсов иностранных организаций > 8.0	"Сетевая форма реализации образовательных программ > из них число заключенных договоров 
(из графы 9) с использованием ресурсов иностранных организаций > 10.0"	Сетевая форма реализации образовательных программ > общее число заключенных договоров с организациями на реализацию образовательных программ с использованием сетевой формы, единиц > 9.0	Сетевая форма реализации образовательных программ > численность обучающихся (из графы 5) по программам, реализуемым с использованием сетевой формы - всего > 7.0	"Сетевая форма реализации образовательных программ > число организаций, 
с которыми заключены договоры на реализацию образовательных программ с использованием сетевой формы, единиц  > 11.0"	Сетевая форма реализации образовательных программ > число программ (из графы 3), реализуе-мых с использова-нием сетевой формы  > 6.0	Численность обучающихся - всего, человек > 5.0	Число реализуемых образователь-ных программ -всего, единиц > 3.0	"Электронное обучение > в том числе (из графы 14) 
с применением  исключительно электронного обучения > 15.0"	"Электронное обучение > численность обучающихся 
(из графы 5) по программам 
с применением электронного обучения > 14.0"	Электронное обучение > число программ (из графы 3), реализуемых с применением электронного обучения > 13.0	из них прошли профессионально - общественную аккредитацию работодателями и их объединениями > 4.0
Карачаево-Черкесская Республика	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Карачаево-Черкесская Республика	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	0	0	0	0	0	0	0	0	0	2623	31	0	0	0	0
Кемеровская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	8068	126	0	0	0	134	4339	122	74	9807	158	0	7261	117	23
Кемеровская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	18	55893	614	0	0	0	259	20505	229	227	65929	738	15	50082	569	94
Кемеровская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Кемеровская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	0	0	0	0	0	0	0	0	0	2667	18	0	985	8	13
Кировская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	724	21	0	0	0	28	1146	18	24	4552	110	0	1508	27	31
Кировская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	420	6702	98	0	0	0	65	4370	52	58	22183	320	125	5651	73	107
Кировская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Кировская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	2	1284	6	0	0	0	37	4554	30	42	5936	65	0	36	3	28
Костромская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	438	6	0	0	0	7	306	7	7	3146	63	0	581	8	2
Костромская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	0	3168	36	0	0	0	11	749	11	11	12414	152	0	3288	36	12
Костромская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Костромская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	0	0	0	0	0	1	23	1	1	539	9	0	0	0	5
Краснодарский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	2541	39	0	0	0	26	747	26	9	23446	332	0	4942	70	37
Краснодарский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	0	8435	111	0	0	0	60	2662	60	37	94174	870	0	17833	206	84
Краснодарский край	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	614	6	0	0	0	0
Краснодарский край	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	2231	47	0	0	0	2	654	3	24	36212	336	0	3353	38	58
Красноярский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	8077	141	0	0	0	29	715	23	22	14513	267	0	6854	116	35
Красноярский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	0	19898	368	0	0	0	135	3472	49	51	56043	674	0	22045	339	81
Красноярский край	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Красноярский край	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	282	1	0	0	0	0	0	0	0	3925	30	0	332	6	2
Курганская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	2828	65	0	0	0	35	1208	33	27	4323	114	0	1893	44	17
Курганская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	0	9721	116	0	0	0	87	3165	87	42	16765	200	0	8439	87	67
Курганская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Курганская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	0	0	0	0	0	0	0	0	0	115	1	0	0	0	0
Курская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	988	32	0	0	0	16	253	18	12	4742	118	0	1015	24	6
Курская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	409	9959	123	0	0	0	44	2276	42	26	22970	275	0	8102	77	48
Курская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Курская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	650	17	0	0	0	6	293	6	17	1432	25	0	650	17	0
Ленинградская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	1748	40	0	0	0	92	1233	92	34	4907	110	0	2272	52	5
Ленинградская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	0	4882	98	0	0	0	131	2519	130	43	17424	230	0	7262	107	19
Ленинградская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ленинградская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	0	0	0	0	0	0	0	0	0	279	4	0	0	0	4
Липецкая область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	693	6	0	0	0	2	314	2	3	5321	76	0	0	0	4
Липецкая область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	0	3292	38	0	0	0	75	720	69	9	21620	236	0	4087	38	33
Липецкая область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
